GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
122,0.352,0.67,0.48,155.6,0.451825039407868,2.82112,4,3,3,3,3,3,3,2,2,0.227791220186657,0.772208779813342,0,2.97216,2.97216,2.67742,2.97216,2.37412,2.97216,2.3725,2.3725
131,1.382,1.33,0.29,102,0.456942854176009,3.07015,9,2,2,1,2,2,2,2,2,0.946028327000061,0,0.053971672999939,2.48114,2.48114,2.86148,2.396,2.45082,2.52157,2.43863,2.45082
132,0.2816,0.6,0.62,108.4,0.458247382925526,2.97155,2,2,2,2,2,2,2,2,2,1,0,0,2.48114,2.48114,2.48114,2.396,2.48114,2.396,2.396,2.48114
134,0.5312,0.82,0.26,57.1,0.499687294784195,2.86148,4,2,2,2,1,2,1,2,2,0.817461365737683,0,0.182538634262317,3.16187,2.39854,2.39854,3.07015,2.39854,3.07015,2.45082,2.45082
139,0.4736,0.78,0.25,53.1,0.49938812329134,2.72936,7,2,3,3,2,3,2,2,2,0.860624983601396,0.139375016398604,0,2.39854,2.41394,2.42188,2.39854,2.42188,2.45082,2.45082,2.59664
145,1.03,1.15,0.34,153.4,0.451859174425832,2.8773,7,2,2,2,3,2,1,2,2,0.90078892733564,0.0186020761245675,0.0806089965397924,3.16006,3.16006,2.3725,2.53352,2.52157,2.97329,2.34318,2.34318
150,0.0832,0.33,0.41,116.6,0.478513447623564,3.14252,3,2,2,2,2,2,2,2,2,1,0,0,2.4031,2.4031,3.05323,2.4031,2.29637,2.4031,2.29637,2.29637
153,0.0448,0.24,0.49,63.4,0.499736925343218,2.76276,1,2,2,2,2,2,2,2,2,1,0,0,2.45082,2.45082,2.45082,2.45082,2.45082,2.45082,2.45082,2.45082
155,0.128,0.4,0.4,60.3,0.471353477113069,2.7337,3,2,2,2,2,3,3,3,3,0.984407110018856,0.0155928899811445,0,2.46573,2.46573,2.46573,2.46573,3.09733,2.70187,2.70187,3.09733
156,0.5824,0.86,0.56,39.3,0.457703798875886,2.97329,3,1,1,1,3,2,3,3,2,0.636464702612562,0.045457352850349,0.318077944537089,2.8773,2.8773,2.8773,3.17595,2.34318,3.17595,3.17595,2.34318
160,0.0384,0.22,0.45,26.6,0.478549551149526,2.84044,2,3,3,3,3,3,3,3,3,0,1,0,2.6713,2.6713,2.6713,2.6713,2.6713,3.09916,3.09916,3.09916
162,0.1088,0.37,0.36,60.3,0.479929714245599,2.76643,6,2,3,3,2,3,2,2,2,0.967806841046278,0.0321931589537223,0,2.46573,2.70187,3.09733,2.46573,3.09733,3.1655,2.43833,2.43833
163,0.4864,0.79,0.36,57.3,0.499401840624778,2.7946,6,2,2,2,2,1,2,2,2,0.974265639549649,0,0.0257343604503513,2.34318,2.52157,2.52157,2.34318,3.08204,2.77495,3.03136,3.15897
168,0.0832,0.33,0.39,63.4,0.452024415548342,3.22412,3,2,2,2,2,2,2,2,2,1,0,0,2.64826,2.45082,2.45082,2.43863,2.45082,2.43863,2.43863,2.45082
171,0.3648,0.68,0.48,55,0.454447998654692,3.08204,4,2,2,2,1,2,2,2,2,0.963476354243321,0,0.0365236457566792,2.52157,2.52157,2.52157,2.7946,2.43863,3.15897,3.15897,3.15897
178,0.0384,0.22,0.66,123.7,0.450609232545157,3.08935,2,2,2,2,2,2,2,2,2,1,0,0,2.43863,2.45082,2.45082,2.43863,2.45082,2.43863,2.43863,2.45082
180,0.0832,0.33,0.61,21.8,0.499425079117399,3.00808,4,3,3,3,3,3,3,3,3,0,1,0,3.09916,3.09916,3.09916,2.29459,3.11548,2.29459,3.11548,3.11548
