GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
261,0.2496,0.56,0.37,99.5,0.49619819227275,2.70461,4,2,2,2,2,2,2,2,2,1,0,0,2.70919,2.89304,2.89304,2.70919,2.89304,2.70919,2.70919,2.70919
263,0.2176,0.53,0.4,123.7,0.365607401289621,3.24022,2,2,2,2,2,2,2,2,2,1,0,0,3.18116,2.36072,2.36072,3.18116,2.36072,3.18116,2.36072,2.36072
265,0.0384,0.22,0.58,104,0.470257643506494,3.05322,3,2,2,2,3,2,3,3,3,0.761604001907384,0.238395998092616,0,2.36795,2.36795,2.36795,2.42185,2.36795,2.42185,2.42185,2.42185
271,0.192,0.49,0.53,125.5,0.378729304453683,2.75057,2,2,3,3,2,3,2,2,2,0.906735751295337,0.0932642487046632,0,2.70919,3.12247,3.12247,2.70919,3.12247,2.70919,2.70919,2.70919
274,0.2112,0.52,0.27,118.6,0.3560589814728,3.24386,4,2,2,2,2,2,2,3,3,0.95650236011048,0.0434976398895205,0,2.36072,3.14992,3.14992,2.36072,3.14992,2.36072,2.46383,2.46383
277,0.2368,0.55,0.46,106.7,0.382202356708063,2.72775,4,2,2,2,2,2,2,2,2,0.970572296576073,0.0294277034239264,0,2.62397,2.28343,2.54195,2.62397,2.54195,2.62397,2.54195,2.54195
278,0.1472,0.43,0.39,125.5,0.357009743283998,3.23106,3,3,3,3,2,2,2,2,2,0.873320469093783,0.126679530906217,0,2.38041,2.38041,2.38041,2.36072,2.36072,2.36072,2.36072,2.36072
279,0.1664,0.46,0.47,135,0.347516595335686,3.28334,4,2,2,2,2,2,3,3,2,0.823615160349854,0.176384839650146,0,3.14992,2.44821,2.44821,3.14992,2.44821,2.46383,2.46383,2.44821
280,0.16,0.45,0.47,54.5,0.384783714368424,2.74779,4,2,2,2,3,2,3,3,3,0.968534151957022,0.0314658480429777,0,2.54195,2.54195,2.54195,2.35893,2.54195,2.35893,2.35893,2.35893
284,0.32,0.64,0.5,69,0.369809923791274,2.83681,5,2,2,2,1,2,2,2,2,0.997146869357823,0,0.0028531306421773,2.70919,2.70919,2.9342,2.64987,2.9342,2.55085,2.55085,2.55085
